NAME	LONGNAME	efo_label	release	valid	invalid	efo_cls	xref_source	xref	simple_xref	quality	toImport	Comments
AB1_MEASLES	Measles	measles	r4/5	TRUE	FALSE	EFO_1002025	ot_mappings			1		
AB1_MENINGOCOCCAL	Meningococcal infection	meningococcal infection	r4/5	TRUE	FALSE	EFO_0004249	ot_mappings			1		
AB1_MUMPS	Mumps	mumps virus infectious disease	r4/5	TRUE	FALSE	EFO_0007383	ot_mappings			0.999		
AB1_MYCOSES	Mycoses	fungal infectious disease	r2	TRUE	FALSE	MONDO_0002041	ICD_10;OLS_API_EFO_lookup	B3[5-9]|B4[0-9]	B49	match		
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	bunyaviridae infectious disease	r4/5	FALSE	TRUE	EFO_0007188	ot_mappings			0.7363043798		
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	bacterial disease	r4/5	TRUE	FALSE	EFO_0000771	manual					
AB1_OTHER_BACTERIAL	Other bacterial diseases	bacterial disease	r2	TRUE	FALSE	EFO_0000771	manual					
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	chlamydiaceae infections	r3	TRUE	FALSE	EFO_1001288	ICD_10	A7[0-4]	A70	NA		
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	hiv infection	r4/5	TRUE	FALSE	EFO_0000764	ot_mappings			0.8589277029		
AB1_OTHER_INFECTIONS	Other infectious diseases	infectious disease	r2	TRUE	FALSE	EFO_0005741	ICD_9	136[8-9]	1368;1369	NA		
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	bacteroides infectious disease	r4/5	FALSE	TRUE	EFO_1000832	ot_mappings			0.9000991718		
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	mycobacterial infectious disease	r4/5	TRUE	FALSE	MONDO_0020590	manual					
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	whipple's disease	r4/5	FALSE	TRUE	EFO_0000775	ot_mappings			0.8520827348		
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	protozoa infectious disease	r4/5	TRUE	FALSE	MONDO_0002428	manual					
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	spirochaetales infections	r2	TRUE	FALSE	EFO_0009567	ICD_10	A6[5-9]	A69	NA		
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	superficial mycosis	r4/5	TRUE	FALSE	MONDO_0024268	manual					
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	fungal infectious disease	r4/5	FALSE	TRUE	MONDO_0002041	ot_mappings			0.7330200882		
AB1_OTHER_VIRAL	Other viral diseases	viral disease	r2	TRUE	FALSE	EFO_0000763	ICD_10	B2[5-9]|B3[0-4]	B34	NA		
AB1_PARASITIC_NOS	Unspecified parasitic disease	parasitic infection	r4/5	TRUE	FALSE	EFO_0001067	ot_mappings			0.8848024283		
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	parasitic infection	r2	TRUE	FALSE	EFO_0001067	ICD_10	B8[5-9]	B88	NA		
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	mite infestation	r2	TRUE	FALSE	MONDO_0004389	ICD_9	13[2-4]	133	NA		
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	lice infestation	r2	TRUE	FALSE	MONDO_0003472	MONDO TERM NOT IN EFO	NA	NA	NA		
AB1_PNEUMOCYSTOSIS	Pneumocystosis	pneumocystosis	r4/5	TRUE	FALSE	EFO_0007448	ot_mappings			1		
AB1_POLIOMYELITIS	Acute poliomyelitis	poliomyelitis	r4/5	TRUE	FALSE	EFO_0007450	ot_mappings			0.999		
AB1_PROTOZOAL	Protozoal diseases	protozoa infectious disease	r3	TRUE	FALSE	MONDO_0002428	ICD_10	B5[0-9]|B6[0-4]	B64	NA		
AB1_RESP_TUBERCU	Respiratry tuberculosis	skeletal tuberculosis	r4/5	FALSE	TRUE	EFO_0007487	ot_mappings			0.9754358233		
AB1_RESP_TUBERCU	Respiratry tuberculosis	pulmonary tuberculosis	r4/5	TRUE	FALSE	EFO_1000049	manual					
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, bacteriologically and histologically confirmed	urogenital tuberculosis	r4/5	FALSE	TRUE	EFO_0007531	ot_mappings			0.6058939782		
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, bacteriologically and histologically confirmed	Tuberculosis	r4/5	TRUE	FALSE	Orphanet_3389	manual					
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed bacteriologically or histologically	urogenital tuberculosis	r4/5	FALSE	TRUE	EFO_0007531	ot_mappings			0.6058939782		
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed bacteriologically or histologically	Tuberculosis	r4/5	TRUE	FALSE	Orphanet_3389	manual					
AB1_RUBELLA	Rubella [German measles]	rubella	r4/5	TRUE	FALSE	EFO_1002026	ot_mappings			0.8861594661		
AB1_SALMONELLA_OTH	Other salmonella infections	salmonella infections	r4/5	TRUE	FALSE	EFO_1001418	ot_mappings			1		
AB1_SCARLET_FEVER	Scarlet fever	scarlet fever	r4/5	TRUE	FALSE	EFO_0007477	ot_mappings			1		
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]	schistosomiasis mansoni	r4/5	FALSE	TRUE	EFO_1001420	ot_mappings			0.9143857339		
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]	schistosomiasis	r4/5	TRUE	FALSE	EFO_1001475	manual					
AB1_SEPSIS	Septicaemia		r4/5	TRUE	FALSE	HP_0100806	manual					
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	infectious disease	r4/5	TRUE	FALSE	EFO_0005741	manual					
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	parasitic infection	r4/5	TRUE	FALSE	EFO_0001067	ot_mappings			0.8616882051		
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	poliomyelitis	r4/5	TRUE	FALSE	EFO_0007450	ot_mappings			0.8193623963		
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	tuberculosis	r4/5	TRUE	FALSE	Orphanet_3389	ot_mappings			0.7887484752		
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	infectious disease	r2	TRUE	FALSE	EFO_0005741	manual					
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	parasitic infection	r2	TRUE	FALSE	EFO_0001067	OLS_API_EFO_lookup	NA	NA	fuzzy		
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	sexually transmitted disease	r2	TRUE	FALSE	MONDO_0021681	manual					
AB1_SEXUAL_TRANSMISSION_NOS	Other predominantly sexually transmitted diseases, not elsewhere classified	sexually transmitted disease	r4/5	TRUE	FALSE	MONDO_0021681	ot_mappings			0.8128651487		
AB1_SPIROCHE_OTHER	Spirochaetal infections, other/unspecified	rhabditida infectious disease	r4/5	FALSE	TRUE	EFO_0007468	ot_mappings			0.8039752097		
AB1_SPIROCHE_OTHER	Spirochaetal infections, other/unspecified	Spirochaetales Infections	r4/5	TRUE	FALSE	EFO_0009567	manual					
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	streptococcal infection	r4/5	TRUE	FALSE	EFO_1001476	manual					
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	pasteurella hemorrhagic septicemia	r4/5	FALSE	TRUE	EFO_1001091	ot_mappings			0.6417856606		
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	staphylococcal infection	r4/5	TRUE	FALSE	MONDO_0024313	manual					Ask EFO to import term
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	streptococcal infection	r4/5	TRUE	FALSE	EFO_1001476	ot_mappings			0.7849339234		
AB1_SYPHILIS	Syphilis	syphilis	r4/5	TRUE	FALSE	EFO_0007504	ot_mappings			1		
AB1_TOXOPLASMOSIS	Toxoplasmosis	toxoplasmosis	r4/5	TRUE	FALSE	EFO_0007517	ot_mappings			1		
AB1_TRICHOMONIASIS	Trichomoniasis	trichomoniasis	r4/5	TRUE	FALSE	DOID_1947	ot_mappings			1		
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	tuberculosis	r4/5	TRUE	FALSE	Orphanet_3389	ot_mappings			0.7847437915		
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	multicellular organism	r4/5	FALSE	TRUE	UBERON_0000468	ot_mappings			0.7847437915		
AB1_TUBERCULOSIS	Tuberculosis	tuberculosis	r2	TRUE	FALSE	Orphanet_3389	ICD_10;Zooma_API_lookup	A1[5-9]	A18	match		
AB1_VARICELLA	Varicella [chickenpox]	chickenpox	r4/5	TRUE	FALSE	EFO_0007204	ot_mappings			0.8115699335		
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	viral conjunctivitis	r4/5	TRUE	FALSE	EFO_0008571	ot_mappings			1		
AB1_VIRAL_CNS	Viral infections of the central nervous system	viral infection of central nervous system	r2	TRUE	FALSE	MONDO_0024318	manual					
AB1_VIRAL_ENCEPHALITIS_NOS	Viral encephalitis, not elsewhere classified/unspecified	viral encephalitis	r4/5	TRUE	FALSE	EFO_0007538	ot_mappings			0.8346602481		
AB1_VIRAL_HEMOR_FEVER_NOS	Viral haemorrhagic fevers, not elsewhere classified/unspecified	viral hemorrhagic fever	r4/5	TRUE	FALSE	MONDO_0018087	ot_mappings			0.8239098435		
AB1_VIRAL_HEPATITIS	Viral hepatitis	viral hepatitis	r2	TRUE	FALSE	EFO_0007540	EFO_OBO	NA	NA	match		
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	viral disease	r4/5	TRUE	FALSE	EFO_0000763	manual					
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	parasitic infection	r4/5	FALSE	TRUE	EFO_0001067	ot_mappings			0.7358519569		
AB1_VIRAL_MENINGITIS	Viral meningitis	viral meningitis	r4/5	TRUE	FALSE	EFO_1001236	ot_mappings			1		
AB1_VIRAL_NOS	Other viral diseases, not elsewhere classified	cardiomyopathy	r4/5	FALSE	TRUE	EFO_0000318	ot_mappings			0.9044233303		
AB1_VIRAL_NOS	Other viral diseases, not elsewhere classified	viral disease	r4/5	TRUE	FALSE	EFO_0000763	manual					
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	parasitic intestinal disease	r4/5	FALSE	TRUE	EFO_0009561	ot_mappings			0.8044291582		
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	viral disease	r4/5	TRUE	FALSE	EFO_0000763	manual					More general term
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	skin disease caused by infection	r2	TRUE	FALSE	MONDO_0024294	manual					
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	viral disease	r2	TRUE	FALSE	EFO_0000763	manual					
AB1_VIRAL_SKIN_NOS	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	autoimmune bullous skin disease	r4/5	FALSE	TRUE	EFO_0008598	ot_mappings			0.6150357251		
AB1_VIRAL_SKIN_NOS	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	skin disease caused by infection	r4/5	TRUE	FALSE	MONDO_0024294	manual					
AB1_VIRAL_SKIN_NOS	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	viral disease	r4/5	TRUE	FALSE	EFO_0000763	manual					
AB1_VIRAL_WARTS	Viral warts	common wart	r4/5	TRUE	FALSE	EFO_0009662	ot_mappings			0.999		
AB1_VIRAN_CNS_INFECTIONS_NOS	Viral infections of central nervous system, not elsewhere classified/unspecified	viral infection of central nervous system	r4/5	TRUE	FALSE	MONDO_0024318	ot_mappings			0.8765529686		
AB1_WHOOPCOUGH	Whooping cough	whooping cough	r4/5	TRUE	FALSE	EFO_0000650	ot_mappings			1		
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	zoonotic bacterial infection	r3	TRUE	FALSE	MONDO_0044746	OLS_API_EFO_lookup	NA	NA	fuzzy		
AB1_ZOSTER	Zoster [herpes zoster]	herpes zoster	r4/5	TRUE	FALSE	EFO_0006510	ot_mappings			1		
ABDOM_HERNIA	Hernia of abodminal wall	ventral hernia	r3	TRUE	FALSE	EFO_1001866	OLS_API_EFO_lookup	NA	NA	fuzzy		
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	response to surgery	r3	TRUE	FALSE	EFO_0009951	manual					
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	ventral hernia	r3	TRUE	FALSE	EFO_1001866	OLS_API_EFO_lookup	NA	NA	fuzzy		
ABDOMINALPAIN	Pain in abdomen/pelvis	pain in abdomen	r3	TRUE	FALSE	EFO_0003766	OLS_API_EFO_lookup	NA	NA	fuzzy		
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	drug-induced akathisia	r4/5	FALSE	TRUE	EFO_1000903	ot_mappings			0.719216692		
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	exposure-related interstitial lung disease	r4/5	TRUE	FALSE	MONDO_0017040	manual					
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	chronic obstructive pulmonary disease	r2	TRUE	FALSE	EFO_0000341	manual					
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	asthma	r2	TRUE	FALSE	EFO_0000270	OLS_API_EFO_lookup	NA	NA	fuzzy		
AD_AM	Alzheimer’s disease (Atypical or mixed)	Alzheimer's disease	r3	TRUE	FALSE	EFO_0000249	manual					
AD_AM_EXMORE	Alzheimer's disease (Atypical or mixed)	alzheimer's disease	r2	TRUE	FALSE	EFO_0000249	OLS_API_EFO_lookup	NA	NA	fuzzy		
AD_EO	Alzheimer’s disease (Early onset)	Alzheimer's disease	r3	TRUE	FALSE	EFO_0000249	manual					
AD_EO_EXMORE	Alzheimer�s disease (Early onset)	alzheimer's disease	r2	TRUE	FALSE	EFO_0000249	manual					
AD_LO	Alzheimer’s disease (Late onset)	late-onset alzheimers disease	r3	TRUE	FALSE	EFO_1001870	OLS_API_EFO_lookup	NA	NA	fuzzy		
AD_LO_EXMORE	Alzheimer�s disease (Late onset)	late-onset alzheimers disease	r2	TRUE	FALSE	EFO_1001870	OLS_API_EFO_lookup	NA	NA	fuzzy		
AD_U	Alzheimer’s disease (undefined)	Alzheimer's disease	r3	TRUE	FALSE	EFO_0000249	manual					
AD_U_EXMORE	AlzheimerÕs disease (undefined) (more controls excluded)	alzheimer's disease	r4/5	TRUE	FALSE	EFO_0000249	ot_mappings			0.7265432093		
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	response to drug	r2	TRUE	FALSE	GO_0042493	manual					
ALCODELIRIUM	Alcohol withdrawal state with deliriumÊ	alcohol withdrawal	r4/5	TRUE	FALSE	EFO_0004777	ot_mappings			0.8457121592		
ALCOETHTOXIC	Toxic effect of ethanol	alcohol dependence	r2	TRUE	FALSE	EFO_0003829	manual					
ALCOGASTRITIS	Alcoholic gastritis	alcohol-induced disorders	r3	TRUE	FALSE	MONDO_0021699	manual					
ALCOGASTRITIS	Alcoholic gastritis	gastritis	r3	TRUE	FALSE	EFO_0000217	OLS_API_EFO_lookup	NA	NA	fuzzy		
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	alcohol-related disorders	r2	TRUE	FALSE	MONDO_0021698	manual					
ALCOHOLACUTE10	Acute alcohol intoxication	alcohol dependence	r2	TRUE	FALSE	EFO_0003829	OLS_API_EFO_lookup	NA	NA	fuzzy		
ALCOHOLACUTE9	Acute alcohol intoxication ICD-9 (inculed in Swedish definition)	alcohol dependence	r2	TRUE	FALSE	EFO_0003829	manual					
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	alcohol-related disorders	r2	TRUE	FALSE	MONDO_0021698	manual					
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	mental or behavioural disorder	r2	TRUE	FALSE	EFO_0000677	OLS_API_EFO_lookup	NA	NA	fuzzy		
ALCOLIVER	Alcoholic liver disease	alcoholic liver disease	r3	TRUE	FALSE	EFO_0008573	EFO_OBO	NA	NA	match		
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	nervous system disease	r3	TRUE	FALSE	EFO_0000618	manual					
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	alcohol-induced disorders	r3	TRUE	FALSE	MONDO_0021699	manual					
ALCOPANCACU	Acohol-induced acute pancreatitis	alcoholic pancreatitis	r2	TRUE	FALSE	EFO_1002013	manual					
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	alcoholic pancreatitis	r2	TRUE	FALSE	EFO_1002013	manual					
ALCOPOLYNEU	Alcohol induced polyneuropathy	alcoholic neuropathy	r4/5	TRUE	FALSE	EFO_1000803	ot_mappings			0.7946422957		
ALCOTOXIC	Toxic effect of unspecified or or other (than ethanol) alcohols	alcohol dependence	r2	TRUE	FALSE	EFO_0003829	manual					
ALLERG_ASTHMA	Allergic asthma (mode)	allergic asthma	r3	TRUE	FALSE	MONDO_0004784	OLS_API_EFO_lookup	NA	NA	fuzzy		
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode)	allergic asthma	r2	TRUE	FALSE	MONDO_0004784	MONDO TERM NOT IN EFO	NA	NA	NA		
ALLERG_RHINITIS	Allergic rhinitis	allergic rhinitis	r2	TRUE	FALSE	EFO_0005854	EFO_OBO	NA	NA	match		
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	contact dermatitis due to nickel	r4/5	FALSE	TRUE	EFO_0005320	ot_mappings			0.7672032792		
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	allergic contact dermatitis	r4/5	TRUE	FALSE	EFO_1000668	manual					
AMN2	Transient global amnesia	transient global amnesia	r2	TRUE	FALSE	HP_0010534	OLS_API_HP_exact_lookup	NA	NA	match		
AMPUTATION	Amputation	amputation	r2	TRUE	FALSE	EFO_0009632	manual					
AMPUTATION_TOE	Amputation of toe	amputation	r2	TRUE	FALSE	EFO_0009632	manual					
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	adverse effect	r4/5	FALSE	TRUE	EFO_0009658	ot_mappings			0.6117903821		
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	Drug-induced anaphylaxis	r4/5	TRUE	FALSE	HP_0410149	manual					Ask EFO to import term
ANOSMIA	Anosmia	anosmia	r2	TRUE	FALSE	Orphanet_478	Zooma_API_lookup	NA	NA	match		
ANTIDEPRESSANTS	Depression medications	antidepressant	r2	TRUE	FALSE	CHEBI_35469	manual					
APHADYSPHAGIA	Aphagia and dysphagia	Dysphagia	r3	TRUE	FALSE	HP_0002015	manual					
APPENDACUT_COMPLIC	Acute appendicitis, with complications	complication	r3	TRUE	FALSE	EFO_0009518	manual					
APPENDACUT_COMPLIC	Acute appendicitis, with complications	appendicitis	r3	TRUE	FALSE	EFO_0007149	OLS_API_EFO_lookup	NA	NA	fuzzy		
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	appendicitis	r3	TRUE	FALSE	EFO_0007149	OLS_API_EFO_lookup	NA	NA	fuzzy		
APPENDICITIS_BROAD	Appendicitis, broad definition	appendicitis	r3	TRUE	FALSE	EFO_0007149	OLS_API_EFO_lookup	NA	NA	fuzzy		
ARTHRO_SPEC	Other specific arthropathies	joint disease	r3	TRUE	FALSE	EFO_1000999	Zooma_API_lookup	NA	NA	match		
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	reactive arthritis	r4/5	FALSE	TRUE	EFO_0007460	ot_mappings			0.9305740038		
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	dysentery	r4/5	TRUE	FALSE	EFO_1001869	manual					
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	arthropathy	r4/5	TRUE	FALSE	HP_0003040	OLS_API_EFO_lookup					
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	respiratory tract infectious disease	r2	TRUE	FALSE	MONDO_0024355	manual					
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	asthma	r2	TRUE	FALSE	EFO_0000270	OLS_API_EFO_lookup	NA	NA	fuzzy		
ASTHMA_ALLERG	Asthma and allergy	allergic asthma	r3	TRUE	FALSE	MONDO_0004784	manual					
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)	allergic asthma	r3	TRUE	FALSE	MONDO_0004784	manual					
ASTHMA_CHILD	Childhood asthma (age<16)	childhood onset asthma	r3	TRUE	FALSE	EFO_0004591	OLS_API_EFO_lookup	NA	NA	fuzzy		
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16)	childhood onset asthma	r2	TRUE	FALSE	EFO_0004591	OLS_API_EFO_lookup	NA	NA	fuzzy		
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	asthma	r2	TRUE	FALSE	EFO_0000270	OLS_API_EFO_lookup	NA	NA	fuzzy		
ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only	asthma	r3	TRUE	FALSE	EFO_0000270	OLS_API_EFO_lookup	NA	NA	fuzzy		
